Time,Open,High,Low,Last,Change,Volume
1/2/20,28638.97,28872.8,28627.77,28868.8,330.36,254294000
1/3/20,28553.33,28716.31,28500.36,28634.88,-233.92,239591296
1/6/20,28465.5,28708.02,28418.63,28703.38,68.5,261814208
1/7/20,28639.18,28685.5,28565.28,28583.68,-119.7,266677104
1/8/20,28556.14,28866.18,28522.51,28745.09,161.41,296434816
1/9/20,28851.97,28988.01,28844.31,28956.9,211.81,282850592
1/10/20,28977.52,29009.07,28789.1,28823.77,-133.13,239170800
1/13/20,28869.01,28909.91,28819.43,28907.05,83.28,263022496
1/14/20,28895.5,29054.16,28872.27,28939.67,32.62,296038784
1/15/20,28901.8,29127.59,28897.35,29030.22,90.55,263430496
1/16/20,29131.95,29300.32,29131.95,29297.64,267.42,252109600
1/17/20,29313.31,29373.62,29289.91,29348.1,50.46,336871200
1/21/20,29269.05,29341.21,29146.47,29196.04,-152.06,320640992
1/22/20,29263.63,29320.2,29172.26,29186.27,-9.77,283437504
1/23/20,29111.02,29190.47,28966.98,29160.09,-26.18,307057984
1/24/20,29230.39,29288.79,28843.31,28989.73,-170.36,380006400
1/27/20,28542.49,28671.79,28449.22,28535.8,-453.93,337272992
1/28/20,28594.28,28823.23,28575.75,28722.85,187.05,352936384
1/29/20,28820.53,28944.24,28728.19,28734.45,11.6,305932800
1/30/20,28640.16,28879.71,28489.76,28859.44,124.99,326846912
1/31/20,28813.04,28813.04,28169.53,28256.03,-603.41,403885408
2/3/20,28319.65,28630.39,28319.65,28399.81,143.78,315495392
2/4/20,28696.74,28904.88,28696.74,28807.63,407.82,332747104
2/5/20,29048.73,29308.89,29000.85,29290.85,483.22,357542016
2/6/20,29388.58,29408.05,29246.93,29379.77,88.92,263701296
2/7/20,29286.92,29286.92,29056.98,29102.51,-277.26,253870704
2/10/20,28995.66,29278.07,28995.66,29276.82,174.31,257458208
2/11/20,29390.71,29415.39,29210.47,29276.34,-0.48,281852096
2/12/20,29406.75,29568.57,29406.75,29551.42,275.08,309528896
2/13/20,29436.03,29535.4,29348.51,29423.31,-128.11,294363008
2/14/20,29440.47,29463.04,29283.18,29398.08,-25.23,232546896
2/18/20,29282.78,29330.16,29116.81,29232.19,-165.89,264160304
2/19/20,29312.7,29409.09,29274.38,29348.03,115.84,242653600
2/20/20,29296.25,29368.45,28959.65,29219.98,-128.05,289073888
2/21/20,29146.53,29146.53,28892.7,28992.41,-227.57,313438208
2/24/20,28402.93,28402.93,27912.44,27960.8,-1031.61,458714496
2/25/20,28037.65,28134.82,26997.62,27081.36,-879.44,513274208
2/26/20,27159.46,27542.78,26890.97,26957.59,-123.77,477566112
2/27/20,26526,26775.31,25752.82,25766.64,-1190.95,670366528
2/28/20,25270.83,25494.24,24681.01,25409.36,-357.28,922679616
3/2/20,25590.51,26706.17,25396.9,26703.32,1293.96,637199808
3/3/20,26762.47,27077.89,25706.97,25917.41,-785.91,647082496
3/4/20,26383.68,27095.5,26286.31,27090.86,1173.45,457591008
3/5/20,26671.92,26671.92,25943.33,26121.28,-969.58,477366304
3/6/20,25457.21,25994.38,25229.19,25864.78,-256.5,601008128
3/9/20,24992.36,24992.36,23706.07,23851.02,-2013.76,750431104
3/10/20,24453,25020.99,23690.34,25018.16,1167.14,654859328
3/11/20,24604.63,24604.63,23328.32,23553.22,-1464.94,663956224
3/12/20,22184.71,22828.23,21176.44,21200.62,-2352.6,911774208
3/13/20,21973.82,23186.3,21285.37,23185.62,1985,870084288
3/16/20,20917.53,21768.28,20118.16,20188.52,-2997.1,775905984
3/17/20,20487.05,21379.35,19882.26,21237.38,1048.86,795840128
3/18/20,20188.69,20489.33,18917.46,19898.92,-1338.46,874090304
3/19/20,19830.01,20442.63,19186.82,20087.19,188.27,795798208
3/20/20,20253.15,20531.26,19094.27,19173.98,-913.21,880374272
3/23/20,19028.36,19121.01,18213.65,18591.93,-582.05,801235392
3/24/20,19722.19,20729.4,19649.25,20704.91,2112.98,808466112
3/25/20,21050.34,22019.93,20538.34,21200.55,495.64,803309700
