Time,Open,High,Low,Last,Change,Volume,Open Int
1/2/2020,7465,7465,7465,7465,47,0,353
1/3/2020,7469,7469,7469,7469,4,0,353
1/6/2020,7429,7429,7407,7424.5,-44.5,4,351
1/7/2020,7430,7431,7428,7428,3.5,2,352
1/8/2020,7374.5,7425,7374.5,7425,-3,11,342
1/9/2020,7476.5,7476.5,7451.5,7451.5,26.5,2,342
1/10/2020,7436,7449,7436,7449,-2.5,1,342
1/13/2020,7463.5,7480.5,7438.5,7464,15,23,343
1/14/2020,7482,7482,7480,7480,16,1,343
1/15/2020,7493,7493,7493,7493,13,4,347
1/16/2020,7459,7459,7459,7459,-34,10,355
1/17/2020,7529,7529,7529,7529,70,11,365
1/20/2020,7502.5,7502.5,7502.5,7502.5,-26.5,0,365
1/21/2020,7461,7461,7461,7461,-41.5,5,365
1/22/2020,7417,7417,7417,7417,-44,0,365
1/23/2020,7356,7356,7356,7356,-61,0,365
1/24/2020,7443,7443,7443,7443,87,3,365
1/27/2020,7361,7361,7263.5,7263.5,-179.5,102,346
1/28/2020,7311.5,7334.5,7311.5,7334.5,71,1,347
1/29/2020,7342.5,7342.5,7342.5,7342.5,8,0,347
1/30/2020,7277,7277,7234.5,7234.5,-108,395,647
1/31/2020,7136.5,7136.5,7136.5,7136.5,-98,0,647
2/3/2020,7155.5,7194.5,7154,7194.5,58,7,650
2/4/2020,7232,7294,7231.5,7294,99.5,35,659
2/5/2020,7335.5,7338.5,7335.5,7338.5,44.5,1,660
2/6/2020,7385.5,7385.5,7364,7364,25.5,2,660
2/7/2020,7345,7345,7307.5,7320,-44,10,659
2/10/2020,7301,7310.5,7301,7301,-19,9,658
2/11/2020,7320,7366,7320,7363,62,7,657
2/12/2020,7383.5,7388,7377,7388,25,8,657
2/13/2020,7370,7370,7292.5,7309.5,-78.5,8,658
2/14/2020,7270.5,7278.5,7270.5,7278.5,-31,10,660
2/17/2020,7294,7305.5,7294,7305.5,27,1,661
2/18/2020,7232,7250,7232,7240,-65.5,5,663
2/19/2020,7300,7326.5,7300,7326.5,86.5,5,665
2/20/2020,7349,7349,7312.5,7325,-1.5,165,640
2/21/2020,7299,7302.5,7250,7275.5,-49.5,5,641
2/24/2020,7181,7183.5,6994.5,7024.5,-251,30,642
2/25/2020,7053,7070,6792.5,6894.5,-130,90,630
2/26/2020,6828,6916,6760.5,6916,21.5,42,634
2/27/2020,6758.5,6835,6620.5,6702,-214,35,639
2/28/2020,6599,6599,6350,6439.5,-262.5,156,689
3/2/2020,6465.5,6636.5,6386,6547.5,108,613,1199
3/3/2020,6642,6725.5,6535,6599,51.5,314,1293
3/4/2020,6600,6771.5,6600,6693,94,3716,4287
3/5/2020,6726.5,6730.5,6507.5,6620,-73,466,4403
3/6/2020,6534.5,6534.5,6315,6375.5,-244.5,1736,5150
3/9/2020,6112,6112,5725,5906,-469.5,2194,6949
3/10/2020,5959.5,6128,5842.5,5893.5,-12.5,1567,7453
3/11/2020,5973,6001.5,5679,5767.5,-126,4471,10350
3/12/2020,5530,5553,5109.5,5210,-557.5,62985,58975
3/13/2020,5140,5650,5140,5295.5,85.5,93579,105936
3/16/2020,5155,5299,4794,5088,-207.5,275559,316006
3/17/2020,5125,5353,4958,5260.5,172.5,356452,589176
3/18/2020,5153,5208.5,4917.5,5066.5,-194,193081,686269
3/19/2020,5050,5229,4810,5126.5,60,117233,712479
3/20/2020,5106,5370,4952,5097,-29.5,230758,708188
3/23/2020,4796.5,5149.5,4733,4907,-190,194299,711645
3/24/2020,5025,5415.5,5011,5331,424,177057,705280
3/25/2020,5330,5707,5316.5,5594.5,263.5,196402,0
