DateRep,Day,Month,Year,Cases,Deaths,Countries and territories,GeoId
1/1/2020,1,1,2020,0,0,United_Kingdom,UK
1/2/2020,2,1,2020,0,0,United_Kingdom,UK
1/3/2020,3,1,2020,0,0,United_Kingdom,UK
1/4/2020,4,1,2020,0,0,United_Kingdom,UK
1/5/2020,5,1,2020,0,0,United_Kingdom,UK
1/6/2020,6,1,2020,0,0,United_Kingdom,UK
1/7/2020,7,1,2020,0,0,United_Kingdom,UK
1/8/2020,8,1,2020,0,0,United_Kingdom,UK
1/9/2020,9,1,2020,0,0,United_Kingdom,UK
1/10/2020,10,1,2020,0,0,United_Kingdom,UK
1/11/2020,11,1,2020,0,0,United_Kingdom,UK
1/12/2020,12,1,2020,0,0,United_Kingdom,UK
1/13/2020,13,1,2020,0,0,United_Kingdom,UK
1/14/2020,14,1,2020,0,0,United_Kingdom,UK
1/15/2020,15,1,2020,0,0,United_Kingdom,UK
1/16/2020,16,1,2020,0,0,United_Kingdom,UK
1/17/2020,17,1,2020,0,0,United_Kingdom,UK
1/18/2020,18,1,2020,0,0,United_Kingdom,UK
1/19/2020,19,1,2020,0,0,United_Kingdom,UK
1/20/2020,20,1,2020,0,0,United_Kingdom,UK
1/21/2020,21,1,2020,0,0,United_Kingdom,UK
1/22/2020,22,1,2020,0,0,United_Kingdom,UK
1/23/2020,23,1,2020,0,0,United_Kingdom,UK
1/24/2020,24,1,2020,0,0,United_Kingdom,UK
1/25/2020,25,1,2020,0,0,United_Kingdom,UK
1/26/2020,26,1,2020,0,0,United_Kingdom,UK
1/27/2020,27,1,2020,0,0,United_Kingdom,UK
1/28/2020,28,1,2020,0,0,United_Kingdom,UK
1/29/2020,29,1,2020,0,0,United_Kingdom,UK
1/30/2020,30,1,2020,0,0,United_Kingdom,UK
1/31/2020,31,1,2020,2,0,United_Kingdom,UK
2/1/2020,1,2,2020,0,0,United_Kingdom,UK
2/2/2020,2,2,2020,0,0,United_Kingdom,UK
2/3/2020,3,2,2020,0,0,United_Kingdom,UK
2/4/2020,4,2,2020,0,0,United_Kingdom,UK
2/5/2020,5,2,2020,0,0,United_Kingdom,UK
2/6/2020,6,2,2020,0,0,United_Kingdom,UK
2/7/2020,7,2,2020,1,0,United_Kingdom,UK
2/8/2020,8,2,2020,0,0,United_Kingdom,UK
2/9/2020,9,2,2020,1,0,United_Kingdom,UK
2/10/2020,10,2,2020,0,0,United_Kingdom,UK
2/11/2020,11,2,2020,4,0,United_Kingdom,UK
2/12/2020,12,2,2020,0,0,United_Kingdom,UK
2/13/2020,13,2,2020,1,0,United_Kingdom,UK
2/14/2020,14,2,2020,0,0,United_Kingdom,UK
2/15/2020,15,2,2020,0,0,United_Kingdom,UK
2/16/2020,16,2,2020,0,0,United_Kingdom,UK
2/17/2020,17,2,2020,0,0,United_Kingdom,UK
2/18/2020,18,2,2020,0,0,United_Kingdom,UK
2/19/2020,19,2,2020,0,0,United_Kingdom,UK
2/20/2020,20,2,2020,0,0,United_Kingdom,UK
2/21/2020,21,2,2020,0,0,United_Kingdom,UK
2/22/2020,22,2,2020,0,0,United_Kingdom,UK
2/23/2020,23,2,2020,0,0,United_Kingdom,UK
2/24/2020,24,2,2020,4,0,United_Kingdom,UK
2/25/2020,25,2,2020,0,0,United_Kingdom,UK
2/26/2020,26,2,2020,0,0,United_Kingdom,UK
2/27/2020,27,2,2020,0,0,United_Kingdom,UK
2/28/2020,28,2,2020,3,0,United_Kingdom,UK
2/29/2020,29,2,2020,2,0,United_Kingdom,UK
3/1/2020,1,3,2020,5,0,United_Kingdom,UK
3/2/2020,2,3,2020,13,0,United_Kingdom,UK
3/3/2020,3,3,2020,4,0,United_Kingdom,UK
3/4/2020,4,3,2020,11,0,United_Kingdom,UK
3/5/2020,5,3,2020,34,0,United_Kingdom,UK
3/6/2020,6,3,2020,30,1,United_Kingdom,UK
3/7/2020,7,3,2020,48,0,United_Kingdom,UK
3/8/2020,8,3,2020,43,1,United_Kingdom,UK
3/9/2020,9,3,2020,67,1,United_Kingdom,UK
3/10/2020,10,3,2020,48,2,United_Kingdom,UK
3/11/2020,11,3,2020,52,1,United_Kingdom,UK
3/12/2020,12,3,2020,83,0,United_Kingdom,UK
3/13/2020,13,3,2020,134,4,United_Kingdom,UK
3/14/2020,14,3,2020,117,0,United_Kingdom,UK
3/15/2020,15,3,2020,433,11,United_Kingdom,UK
3/16/2020,16,3,2020,251,14,United_Kingdom,UK
3/17/2020,17,3,2020,152,20,United_Kingdom,UK
3/18/2020,18,3,2020,407,5,United_Kingdom,UK
3/19/2020,19,3,2020,680,43,United_Kingdom,UK
3/20/2020,20,3,2020,647,41,United_Kingdom,UK
3/21/2020,21,3,2020,706,33,United_Kingdom,UK
3/22/2020,22,3,2020,1035,56,United_Kingdom,UK
3/23/2020,23,3,2020,665,48,United_Kingdom,UK
3/24/2020,24,3,2020,967,54,United_Kingdom,UK
3/25/2020,25,3,2020,1427,87,United_Kingdom,UK
