time,open,high,low,last,change,volume,cases,deaths,geoid
1/17/2020,2261.57,2268.71,2245.58,2250.57,2.52,0,0,0,KR
1/20/2020,2261.4,2277.23,2258.09,2262.64,12.07,0,1,0,KR
1/21/2020,2259.81,2266.31,2238.25,2239.69,-22.95,0,0,0,KR
1/22/2020,2238.53,2269.27,2235.13,2267.25,27.56,0,0,0,KR
1/23/2020,2254.54,2260.63,2241.94,2246.13,-21.12,0,0,0,KR
1/28/2020,2192.22,2199.93,2166.23,2176.72,-69.41,0,0,0,KR
1/29/2020,2188.18,2195.45,2172.33,2185.28,8.56,0,0,0,KR
1/30/2020,2181.54,2187.45,2139.72,2148,-37.28,0,0,0,KR
1/31/2020,2160.6,2167.23,2119.01,2119.01,-28.99,0,3,0,KR
2/3/2020,2086.61,2126.73,2082.74,2118.88,-0.13,0,0,0,KR
2/4/2020,2121.22,2162.32,2120.53,2157.9,39.02,0,1,0,KR
2/5/2020,2177.26,2181.52,2154.88,2165.63,7.73,0,2,0,KR
2/6/2020,2184.77,2229.99,2182.25,2227.94,62.31,0,5,0,KR
2/7/2020,2221.49,2223.92,2198.14,2211.95,-15.99,0,1,0,KR
2/10/2020,2185.63,2203.39,2180.51,2201.07,-10.88,0,2,0,KR
2/11/2020,2213.5,2233.32,2211.25,2223.12,22.05,0,1,0,KR
2/12/2020,2225.95,2242.24,2214.77,2238.38,15.26,0,0,0,KR
2/13/2020,2245.72,2255.49,2230.3,2232.96,-5.42,0,0,0,KR
2/14/2020,2232.71,2251.5,2221.9,2243.59,10.63,0,0,0,KR
2/17/2020,2243.07,2250.05,2230.26,2242.17,-1.42,0,1,0,KR
2/18/2020,2225.98,2232.93,2205.21,2208.88,-33.29,0,1,0,KR
2/19/2020,2222.51,2226,2191.2,2210.34,1.46,0,15,0,KR
2/20/2020,2223.55,2228.18,2186.72,2195.5,-14.84,0,34,0,KR
2/21/2020,2165.65,2184.43,2160.28,2162.84,-32.66,0,75,1,KR
2/24/2020,2114.04,2120.06,2079.03,2079.04,-83.8,0,161,2,KR
2/25/2020,2075.55,2105.49,2071.5,2103.61,24.57,0,130,1,KR
2/26/2020,2064.07,2089.64,2059.13,2076.77,-26.84,0,254,3,KR
2/27/2020,2073.87,2085.4,2049.15,2054.89,-21.88,0,449,1,KR
2/28/2020,2020.17,2031.01,1980.82,1987.01,-67.88,0,427,1,KR
3/2/2020,1997.03,2017.07,1969.34,2002.51,15.5,0,686,5,KR
3/3/2020,2051.85,2051.85,2009.39,2014.15,11.64,0,600,6,KR
3/4/2020,2005.81,2063.59,2005.81,2059.33,45.18,0,516,4,KR
3/5/2020,2078.11,2089.08,2059.99,2085.26,25.93,0,438,3,KR
3/6/2020,2053.09,2062.57,2032.13,2040.22,-45.04,0,518,7,KR
3/9/2020,1981.02,1989.5,1946.9,1954.77,-85.45,0,248,1,KR
3/10/2020,1942.85,1968.17,1934.72,1962.93,8.16,0,131,3,KR
3/11/2020,1965.67,1967.7,1898.27,1908.27,-54.66,0,242,6,KR
3/12/2020,1887.97,1897.23,1808.56,1834.33,-73.94,0,114,6,KR
3/13/2020,1722.68,1809.31,1680.6,1771.44,-62.89,0,110,1,KR
3/16/2020,1805.43,1805.43,1714.38,1714.86,-56.58,0,74,0,KR
3/17/2020,1640.84,1722.97,1637.88,1672.44,-42.42,0,84,6,KR
3/18/2020,1686.12,1693.95,1591.12,1591.2,-81.24,0,93,5,KR
3/19/2020,1626.09,1626.09,1439.43,1457.64,-133.56,0,152,5,KR
3/20/2020,1498.49,1566.82,1466.48,1566.15,108.51,0,87,9,KR
3/23/2020,1474.45,1516.75,1458.41,1482.46,-83.69,0,64,9,KR
3/24/2020,1523.69,1609.97,1508.68,1609.97,127.51,0,76,7,KR
3/25/2020,1668.19,1707.64,1645.28,1704.76,94.79,0,100,6,KR
3/26/2020,1699.11,1735.75,1679.23,1686.24,-18.52,0,104,5,KR
3/27/2020,1756.07,1759.05,1668.21,1717.73,31.49,0,91,8,KR
3/30/2020,1670.34,1729.63,1659.95,1717.12,-0.61,0,78,6,KR
3/31/2020,1739.29,1757.81,1722.62,1754.64,37.52,0,125,5,KR
4/1/2020,1737.28,1762.44,1685.37,1685.46,-69.18,0,0,0,KR
4/2/2020,1693.53,1726.76,1664.13,1724.86,39.4,0,190,6,KR
